id,name,mobile_no,hobbies,employment_type,income,identification,dob,address
1,Sai,9195366786,Cricket$Tennis,Self,1000000,AADHAAR#123-456$PASSPORT#787-989,19-01-1985,Karnataka$Bangalore$560028
2,Ram,9195366786,Cricket$Movies,Salaried,1000000,PASSPORT#787-989,20-01-1985,Karnataka$Bangalore$560028
3,Tim,9195366788,Swimming$Songs,Self,1000000,PAN#AIINP476BF$AADHAAR#123-456,21-01-1985,Karnataka$Bangalore$560029
4,Pankaj,9155366788,Badminton$Songs,Salaried,1000000,AADHAAR#123-456$PASSPORT#787-989,22-01-1985,Karnataka$Bangalore$560030
5,Abhilash,9195396788,Swimming$Songs,Self,1000000,PASSPORT#787-989,23-01-1985,Karnataka$Bangalore$560031
6,kishore,9125366788,Swimming$Songs,Salaried,1000000,PAN#AIINP476BF$AADHAAR#123-456,24-01-1985,Karnataka$Bangalore$560032
7,Pavan,9195306788,Golf$Songs,Self,1000000,AADHAAR#123-456$PASSPORT#787-989,25-01-1985,Karnataka$Bangalore$560033
8,Deepu,9172366788,TV$Songs,Salaried,1000000,PASSPORT#787-989,26-01-1985,Karnataka$Bangalore$560034
9,Neeraj,9195456788,Jogging$Songs,Self,1000000,PAN#AIINP476BF$AADHAAR#123-456,27-01-1985,Karnataka$Bangalore$560035
10,Krishna,9195398788,Swimming$Songs,Salaried,1000000,PAN#AIINP476BF$AADHAAR#123-456,28-01-1985,Karnataka$Bangalore$560036
@Copyrights of information,,,,,,,,
